"agency","hom16","hom15","rap16","rap15","rob16","rob15","agg16","agg15","non16","non15"
"Albuquerque PD",34,25,156,199,753,861,1601,1608,125,NA
"Arlington PD",13,4,123,117,245,248,668,600,NA,NA
"Atlanta PD",57,45,72,72,1005,1003,1028,1064,161,161
"Aurora PD",10,7,127,149,287,205,390,317,18,15
"Austin PD",12,9,328,387,516,446,1114,942,NA,NA
"Baltimore County PD",16,14,141,134,583,652,823,1193,20,18
"Baltimore PD",137,144,137,141,2373,2041,2344,2285,318,282
"Boston PD",22,13,116,98,659,661,1269,1399,93,100
"Charlotte-Mecklenburg PD",25,27,144,140,912,770,2080,1658,179,109
"Chicago PD",316,211,677,643,5176,4050,2751,2298,1321,875
"Cincinnati PD",35,41,127,125,574,598,350,344,189,227
"Cleveland PD",47,50,218,286,1285,1394,1075,1118,411,388
"Columbus Police",39,48,347,350,963,1105,678,854,160,161
"Dallas PD",83,69,381,405,2150,2008,2160,1860,NA,NA
"Denver PD",19,20,249,309,578,561,1364,1290,103,95
"El Paso PD",8,9,158,154,221,189,967,848,NA,NA
"Fairfax County PD",7,5,17,12,216,196,98,80,NA,NA
"Fort Worth PD",34,28,182,215,585,486,1368,1396,59,65
"Fresno PD",17,25,52,65,548,473,946,754,95,77
"Honolulu PD 2",8,6,95,133,276,260,365,364,19,33
"Houston PD",158,144,612,368,4764,4772,6059,4916,197,148
"Indianapolis PD",61,53,232,228,1523,1249,1586,1427,245,190
"Jacksonville Sheriff's Dept",59,50,172,187,771,673,1407,1539,162,180
"Las Vegas Metropolitan PD",90,56,612,551,1597,1340,956,766,436,347
"Long Beach PD",15,13,109,96,540,466,744,727,NA,NA
"Los Angeles County Sheriff's Dept",110,85,399,365,2202,1915,4371,4124,NA,NA
"Los Angeles PD",134,129,1226,1148,4990,4258,7728,6348,450,451
"Louisville Metro PD",54,35,70,80,766,695,1452,1255,199,135
"Memphis PD",106,65,170,191,1547,1413,2512,2354,452,796
"Mesa PD",11,6,117,142,190,219,605,652,NA,NA
"Miami PD",27,43,42,35,671,768,1182,1226,NA,NA
"Miami-Dade PD",37,39,227,191,680,821,1955,2111,119,122
"Milwaukee PD",54,73,176,161,1528,1687,2625,2420,267,298
"Montgomery Co PD",8,15,171,135,313,296,294,450,15,NA
"Nashville PD",34,31,296,286,869,813,2502,2358,109,103
"Nassau County PD 1",3,4,16,27,215,192,276,260,15,9
"New Orleans PD",67,92,299,152,686,622,949,786,150,125
"New York City PD",161,172,696,648,7337,7627,9926,9401,349,442
"Newark PD",45,40,46,46,621,891,519,436,79,107
"Oakland PD",28,41,101,129,1486,1735,1306,1264,145,168
"Oklahoma City PD 2",19,14,158,160,376,322,1123,1030,NA,NA
"Omaha NE PD",12,20,121,100,242,329,730,758,60,65
"Orlando PD 3",65,8,84,92,240,270,804,900,35,40
"Philadelphia PD",122,115,634,679,2896,3113,3722,3741,463,399
"Phoenix PD 4",78,52,NA,509,NA,1502,NA,2450,NA,NA
"Pittsburgh PD",30,21,52,37,435,391,626,601,239,238
"Prince George’s County PD",48,28,40,48,569,522,163,167,83,68
"Raleigh PD",6,7,55,50,289,322,386,443,35,31
"Sacramento PD",13,25,39,53,533,569,1131,1185,NA,NA
"Salt Lake City PD",3,4,96,76,269,218,402,345,NA,NA
"San Antonio PD",70,51,572,509,1051,915,3418,2530,NA,NA
"San Diego PD",24,17,297,253,723,659,1600,1916,NA,NA
"San Francisco PD",26,24,163,174,1497,1896,1302,1358,69,63
"San Jose PD",25,11,220,178,583,581,1091,930,NA,NA
"Seattle PD",12,9,79,51,762,788,1032,978,29,37
"St. Louis Metro PD",87,92,140,127,811,832,1738,1755,980,1086
"Tampa PD",12,21,45,32,258,296,659,772,38,75
"Tucson PD",11,16,221,213,537,516,1219,961,NA,NA
"Tulsa PD",30,27,185,170,459,426,1345,1176,NA,NA
"Virginia Beach PD",8,12,102,75,131,126,136,129,NA,NA
"Washington DC (Metro PD)",68,63,145,128,1491,1527,1102,1211,NA,NA
"Wichita PD",10,13,183,165,289,329,1100,855,61,24
