"state","state_abbr","county","id","rank","education","income","unemployment","disability","life","obesity","votes_dem","votes_gop","total_votes","winner"
"Alabama","AL","Autauga",1001,1371,21.7,53773,6.5,1.6,76.1,38,5908,18110,24661,"Trump"
"Alabama","AL","Baldwin",1003,657,27.7,50706,6.8,1,77.7,34,18409,72780,94090,"Trump"
"Alabama","AL","Barbour",1005,2941,14.5,31889,11.2,2.9,74.7,47,4848,5431,10390,"Trump"
"Alabama","AL","Bibb",1007,2803,9,36824,7.6,2.6,74.2,43,1874,6733,8748,"Trump"
"Alabama","AL","Blount",1009,2000,12.4,45192,6.2,1.4,75.9,40,2150,22808,25384,"Trump"
"Alabama","AL","Bullock",1011,3083,11.9,34500,13.4,3.8,71.8,49,3530,1139,4701,"Clinton"
"Alabama","AL","Butler",1013,2981,12.9,30752,10.9,3.2,73.8,45,3716,4891,8685,"Trump"
"Alabama","AL","Calhoun",1015,2451,16,40093,7.6,2.4,73.3,40,13197,32803,47376,"Trump"
"Alabama","AL","Chambers",1017,2967,11,32181,9.3,2.6,73.3,44,5763,7803,13778,"Trump"
"Alabama","AL","Cherokee",1019,2584,13.1,36241,7.1,2.2,74.7,41,1524,8809,10503,"Trump"
"Alabama","AL","Chilton",1021,2546,12.5,40834,6.5,2.1,73.9,43,2909,15068,18255,"Trump"
"Alabama","AL","Choctaw",1023,2873,11.9,35123,9,3.3,75.1,46,3109,4102,7268,"Trump"
"Alabama","AL","Clarke",1025,3011,12.7,30954,12.1,3.1,74.9,44,5712,7109,12936,"Trump"
"Alabama","AL","Clay",1027,2914,8.8,34556,9.3,2.6,74.2,42,1234,5230,6572,"Trump"
"Alabama","AL","Cleburne",1029,2564,9.5,37244,6.9,2.1,74.2,39,684,5738,6532,"Trump"
"Alabama","AL","Coffee",1031,1602,22.6,44626,6.2,1.5,76.3,39,4194,15825,20513,"Trump"
"Alabama","AL","Colbert",1033,2398,18,40158,7.6,2.3,74.1,41,7296,16718,24626,"Trump"
"Alabama","AL","Conecuh",1035,3088,9.7,27064,11.6,3.6,73.8,45,3069,3413,6543,"Trump"
"Alabama","AL","Coosa",1037,2872,9.7,37425,8.2,2.7,73.9,45,1780,3376,5223,"Trump"
"Alabama","AL","Covington",1039,2591,13.8,35321,7.5,2.1,74.9,41,2379,13222,15818,"Trump"
"Alabama","AL","Crenshaw",1041,2739,11,37309,7.2,2.4,73.3,43,1663,4511,6252,"Trump"
"Alabama","AL","Cullman",1043,2194,14.2,39244,6.4,1.7,75,39,3730,32734,37278,"Trump"
"Alabama","AL","Dale",1045,2127,17.5,45247,7.3,2.1,75.7,42,4408,13798,18617,"Trump"
"Alabama","AL","Dallas",1047,3094,13.3,26178,13.7,6.2,72,48,12826,5784,18730,"Clinton"
"Alabama","AL","DeKalb",1049,2643,9.9,36853,8.5,1.7,74.7,40,3682,21779,26086,"Trump"
"Alabama","AL","Elmore",1051,1476,21.1,55514,6.8,1.7,75.7,38,8436,27619,36905,"Trump"
"Alabama","AL","Escambia",1053,2849,12.2,31075,8.9,2.1,74.4,43,4698,10282,15213,"Trump"
"Alabama","AL","Etowah",1055,2502,15.2,37660,7.2,2.7,72.8,39,10350,32132,43474,"Trump"
"Alabama","AL","Fayette",1057,2881,11.6,33090,8,2.7,73.1,43,1358,6705,8196,"Trump"
"Alabama","AL","Franklin",1059,2609,12.2,37235,8.2,1.9,72.8,39,2197,9466,11955,"Trump"
"Alabama","AL","Geneva",1061,2717,10.9,33618,6.9,2.6,75.2,42,1522,9967,11659,"Trump"
"Alabama","AL","Greene",1063,3101,11.6,23777,11.4,5.4,74,51,4006,838,4862,"Clinton"
"Alabama","AL","Hale",1065,3066,11.7,29409,9.9,3.8,72.5,50,4772,3172,8010,"Clinton"
"Alabama","AL","Henry",1067,2374,15.8,40680,7.3,1.8,75.2,44,2286,5623,8017,"Trump"
